ID,Name,City,Province,Website,Address,Specialization,Contact Person,Phone
15,Medikay Cardiac Center,Islamabad,Federal Capital,http://medikay.com.pk,"Park Road, Chak Shahzad, Islamabad",Cardiology,Maj. Gen. ® Azhar Mahmood Kiyani,+92-300-8481990[email protected]
16,Bahria International Hospital,Lahore,Punjab,https://bahriainternationalhospital.com,"Takbeer Block, Sector 8, Bahria Town, Lahore , Pakistan",Cardiology Transplant Orthopedics Otology,Dr. Shazia Asim,+92-323-5113427[email protected]
17,MMC General Hospital,Peshawar,KPK,https://www.mmcgh.pk,"Shinwari Town, Ring Road, Peshawar",Cardiology Orthopedics Pediatrics Urology,Sartaj Khan,+92-333-8007339[email protected]
18,Northwest General Hospital,Peshawar,KPK,https://nwgn.pk,"Sector A-3, Phase V, Hayatabad, Peshawar",Cardiology Rediology Pulmonology,Zia ur Rehman,+92-91-5838800[email protected]
19,South City Hospital,Karachi,Sindh,https://southcityhospital.org,"St-1, Shahrah-e-Firdousi, Block 3, Clifton, Karachi",Cardiology Orthopedics Obstetrics and Gynaecology General Surgery,Dr. Munir Ahmed,+92-331-7520000[email protected]
20,Tabba Heart Institute,Karachi,Sindh,https://tabbaheart.org,"St-1, Block 2, Federal B Area, Karachi",Cardiology,Dr. Humayun Mohmand,+92-300-9558737[email protected]
21,Irfan General Hospital,Peshawar,KPK,https://irfangeneralhospital.pk,"Opposite Eidgah Charsadda Road, Peshawar","Orthopedics General Surgery Neurosurgery Obstetrics & Gynaecology Ear, Nose & Throat",Said Wali Khan,+92-321-9123628[email protected]
22,Dr. Zia uddin Hospital,Karachi,Sindh,https://www.ziauddinhospital.com,"Block B, North Nazimabad, Karachi","Orthopedics Obstetrics & Gynaecology Ear,Nose & Throat Physiotherapy",Dr. Inayaat Ali Khan,+92-333-3156628[email protected]
23,Peshawar Institute of Medical Sciences,Peshawar,KPK,https://pimspeshawar.com,"2/B-2, Phase 5, Hayatabad, Peshawar",General Surgery,Muhammad Tariq,+92-300-5830823[email protected]
24,Hair Transplant Institute,Islamabad,Federal Capital,https://hti.com.pk,"I & T Center, Plot No. 40, Jehlum Road, G-8/4, G-8, Islamabad, Islamabad Capital Territory 44000",Cosmetic Surgery,Dr. Humayun Mohmand,+92-300-9558737[email protected]
25,Cosmetic Expert Clinic,Peshawar,KPK,https://cosmeticexpert.com.pk,"23-C, Battani Plaza, University Town, Peshawar",Cosmetic Surgery,Dr. Salman,+92-333-9215884[email protected]
26,Concept Fertility Clinic,Karachi,Sindh,https://conceptfertility.com.pk/,"F-6/1, Block 8, Near Teen Talwar Behind Gulf Mall, KDA Scheme No. 5 Clifton",Reproductive Medicine,Dr. Kiran,+92-321-2183363[email protected]
27,NIBD & BMT,Karachi,Sindh,https://nibd.edupk,"ST 2/A, Block 17 Gulshan-e-Iqbal KDA Scheme 24, Karachi",Bone Marrow Transplant Hematology related diseases Cancer Treatment,Tahir Sultan Shams,+92-345-2383956[email protected]
28,Prime Teaching Hospital,Peshawar,KPK,https://pth.prime.edu.pk/,"Warsak Road, District Peshawar",Neurosurgery Obesity Clinic Urology Ophthaimology Dentistry,Abdul Samad,+92-345-9123099[email protected]
29,Horizon,Lahore,Punjab,https://horizonhospital.org,"403, 404, 436 Block D-II, M.A Block D2, Phase 1, Johar Town, Lahor, Punjab 54770",Hip Replacement Knee Replacement,Dr. Amir Faizi,+92-300-5445260[email protected]
30,Dr. Zia uddin Hospital,Karachi,Sindh,https://www.ziauddinhospital.com,"Clifton 4/B, Shahrah-e-Ghalib, Block 6, Clifton Karachi",Multi-Disciplinary Tertiary Care Renal Transplant Spinal Cord Orthopedic Surgery,Dr. Anoop Dawani,+92-321-3660243[email protected]
